geoid,index,latitude,longitude,area_in_m,confidence,geometry,plus_code,taxable,tax
154109,154109,5.74937199,-0.22552202,25.1186,0.7445,"POLYGON ((-0.225548763192499 5.74935170466016, -0.22552905246803 5.74940483715085, -0.225495285912789 5.74939227035025, -0.225514996638764 5.74933913786202, -0.225548763192499 5.74935170466016))",6CQXPQXF+PQXV,1,0
171044,171044,5.75016152,-0.23052245,56.856,0.7938,"POLYGON ((-0.230497638472611 5.75012010229865, -0.230566583963716 5.75014204363581, -0.230547269427244 5.75020293018637, -0.230478323932065 5.75018098884375, -0.230497638472611 5.75012010229865))",6CQXQQ29+3Q9F,1,0
24216,24216,5.75076648,-0.22775232,39.656,0.7939,"POLYGON ((-0.227768241114634 5.75072150113237, -0.227795381337803 5.75074606382717, -0.227736393838658 5.75081145071759, -0.227709253617791 5.75078688801994, -0.227768241114634 5.75072150113237))",6CQXQQ2C+8V5Q,1,0
14909,14909,5.75135628,-0.22945106,238.5646,0.9357,"POLYGON ((-0.2294075 5.7512679, -0.2295379 5.7513099, -0.2294946 5.7514447, -0.2293642 5.7514026, -0.2294075 5.7512679))",6CQXQQ2C+G6V8,1,0
224718,224718,5.75175373,-0.23217502,17.2953,0.6849,"POLYGON ((-0.232164550479093 5.75172853639771, -0.232202217244949 5.75175200664173, -0.232185503410029 5.75177891632899, -0.232147836644092 5.75175544608334, -0.232164550479093 5.75172853639771))",6CQXQQ29+P443,1,0
1124,1124,5.75182314,-0.23063905,14.5837,0.7152,"POLYGON ((-0.230621184473343 5.75180619273863, -0.230659400019483 5.75180927072928, -0.230656925540623 5.75184009183816, -0.23061870999282 5.75183701384614, -0.230621184473343 5.75180619273863))",6CQXQQ29+PPHW,1,0
138843,138843,5.75263569,-0.23186931,33.3567,0.8302,"POLYGON ((-0.23187563590773 5.75259805895979, -0.231902036362003 5.75265521967767, -0.231862962409093 5.75267332438214, -0.231836561960826 5.75261616366321, -0.23187563590773 5.75259805895979))",6CQXQQ39+372C,1,0
30234,30234,5.75276246,-0.22802082,311.4714,0.8872,"POLYGON ((-0.227951076023543 5.75267308518571, -0.228014404465136 5.75269235956328, -0.228019998974457 5.75267391913959, -0.228045241253243 5.7526816017707, -0.228039646744556 5.75270004219504, -0.228128940515635 5.7527272192545, -0.228090199178287 5.75285491709247, -0.2279123346612 5.75280078299583, -0.227951076023543 5.75267308518571))",6CQXQQ3C+4Q5F,1,0
164284,164284,5.75478952,-0.22953232,20.6322,0.8213,"POLYGON ((-0.229515386381579 5.75476532486264, -0.229560207176269 5.7547798751825, -0.229549249661743 5.75481373668306, -0.229504428865596 5.75479918636127, -0.229515386381579 5.75476532486264))",6CQXQQ3C+W58H,1,0
216583,216583,5.75649992,-0.2285957,27.171,0.7475,"POLYGON ((-0.228583845911077 5.75646739416864, -0.22863023599724 5.75650153631006, -0.228607553991189 5.75653245352356, -0.228561163905438 5.75649831137988, -0.228583845911077 5.75646739416864))",6CQXQQ4C+HHRX,1,0
